"FAOSTATCODE";"COMMODITY";"DEFINITION";"DerivedCode"
"0115";"Food Preparations of Flour, Meal or Malt Extract";"Food preparations of flour, meal, starch or malt extracts, that either
do not contain, or contain less than 50%, cocoa powder. Also, food
preparations of milk that either do not contain, or contain less than
10%, cocoa powder.";108
"0155";"Maltose, Chemically Pure";"See Chapter 3.";108
"0166";"Other Fructose and Syrup";"See Chapter 3.";108
"0172";"Glucose and Dextrose";"See Chapter 3.";108
"0175";"Isoglucose";"See Chapter 3.";108
"0635";"Straw and Husks";"See Chapter 11.";108
"0846";"Gluten Feed and Meal";"See Chapter 11.";108
"0116";"POTATOES
Solanum tuberosum
Irish potato";"A seasonal crop grown in temperate zones all over the world, but
primarily in the northern hemisphere.";0
"0117";"Flour of Potatoes";"Produced from tubers that have been peeled, dried and milled. Includes
flour, meal, flakes, granules and pellets.";116
"0118";"Frozen Potatoes";"Peeled potatoes that are either cooked or uncooked, sliced or
unsliced, and then frozen.";116
"0119";"Starch of Potatoes";"A carbohydrate found in many plant cells. A white odourless powder
that is insoluble in cold water, but forms a paste in hot water. Has
wide food and non-food uses.";116
"0120";"Potato Offals";"See Chapter 11.";116
"0121";"Tapioca of Potatoes";"A product obtained by heating potato starch mixed with water. Tapioca
may be in the form of flakes, grains, pearls, siftings, seeds or other
similar forms. Used in the preparation of soups and puddings or in
foods for invalids.";116
"0122";"SWEET POTATOES
Ipomoea batatas";"A seasonal crop grown in tropical and subtropical regions. Used mainly
for human food. Trade data cover fresh and dried tubers, whether or
not sliced or in the form or pellets.";0
"0125";"CASSAVA
Manioc, mandioca, yuca  (Manihot esculenta, syn. M. utilissima);
yuca dulce (M. palmata, syn. M. dulcis)";"A semi-permanent crop grown in tropical and subtropical regions.
Sometimes bitter and sweet cassavas are referred to as separate
species, the former being M. esculenta and the latter M. palmata, but
this is incorrect since the toxicity varies according to location.
Cassava is the staple food in many tropical countries. It is not
traded internationally in its fresh state because tubers deteriorate
very rapidly.";0
"0126";"Flour of Cassava";"A product of tubers that have been peeled, dried and milled; mainly
for human consumption. Includes flour, meal and flakes.";125
"0127";"Tapioca of Cassava";"See 0121.
Obtained from cassava starch and used in the preparation of
puddings and in infant foods.";125
"0128";"Cassava, Dried";"Includes peeled, sliced and sun-dried (cassava chips), as well as
ground and compressed cassava (pellets). Used mainly as livestock
feed.";125
"0129";"Starch of Cassava";"See 0119.
The principal industrial outlet for cassava. Cassava starch
is used in the foodstuffs, textile and paper industries for the
manufacture of plywood and veneer, adhesives, glucose and dextrine.";125
"0135";"YAUTIA (COCOYAM)
Xanthosoma spp.;
malanga, new cocoyam, ocumo, tannia (X. sagittifolium)";"Several plants are included in this group, some with edible tubers and
others with edible stems (also called aroids). Yautia is grown mainly
in the Caribbean and is used for food. Trade data cover both fresh and
dried yautia.";0
"0136";"TARO (COCOYAM)
Dasheen, eddoe, taro, old cocoyam(Colocasia esculenta)";"Aroids cultivated for their edible starchy corms or underground stems.
Taro is grown throughout the tropics for food. Trade data cover both
fresh and dried taro.";0
"0137";"YAMS
Dioscorea spp.";"The principal edible yams are widely grown throughout the tropics. A
starchy staple foodstuff, normally eaten as a vegetable, boiled, baked
or fried. In West Africa they are consumed mainly as ""fufu"", a stiff
glutinous dough. Trade data cover both fresh and dried yams.";0
